 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  2023       1       0  hru001               792.783      74.583      74.567      24.834      12.794      37.628     202.244     557.698      82.332     459.209      16.158      24.830      78.027     407.492     317.444     248.959      26.286       0.000       0.000       0.290     690.085       0.000       0.000       0.000       0.000       0.000       0.000       0.000      24.830       0.000       0.000      12.794       0.000       0.000       0.000      -4.723       2.851     791.985       0.000       0.000
   365    12    31  2023       2       0  hru002               792.783      74.583      74.567      26.120      12.260      38.380     200.453     558.673      82.332     460.255      16.086      26.115      78.366     413.913     325.023     257.540      25.105       0.000       0.000       0.290     690.085       0.000       0.000       0.000       0.000       0.000       0.000       0.000      26.115       0.000       0.000      12.260       0.000       0.000       0.000      -4.662       3.632     758.917       0.000       0.000
   365    12    31  2023       3       0  hru003               792.783      74.583      74.567       0.000     313.665     313.666     159.833     545.534      82.334     444.871      18.330       0.000      25.026     369.292     318.754     196.850      27.012       0.000       0.000       0.290     690.072       0.000       0.000       0.000     223.433       0.000       0.000       0.000       0.000       0.000       0.000     313.665       0.000       0.000       0.000      -2.651       0.000    1001.616       0.000       0.000
   365    12    31  2023       4       0  hru004               792.783      74.584      74.568       0.000     207.827     207.827      27.732     558.996      82.331     457.861      18.805       0.000      20.938     307.419     279.312     203.877      43.108       0.000       0.000       0.290     690.093       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     207.827       0.000       0.000       0.000      -1.474       0.000     550.048       0.000       0.000
   365    12    31  2023       5       0  hru005               792.783      74.584      74.568       0.000     186.740     186.741      49.164     559.131      82.332     458.251      18.549       0.000      21.963     334.115     295.265     210.782      43.187       0.000       0.000       0.290     690.088       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     186.740       0.000       0.000       0.000      -2.038       0.000     494.239       0.000       0.000
   365    12    31  2023       6       0  hru006               792.783      74.583      74.567       0.000     199.562     199.563      36.149     559.026      82.333     458.009      18.684       0.000      21.335     318.762     286.398     206.699      43.147       0.000       0.000       0.290     690.080       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     199.562       0.000       0.000       0.000      -1.697       0.000     528.175       0.000       0.000
   365    12    31  2023       7       0  hru007               792.783      74.584      74.568       0.000     164.576     164.576      71.521     559.417      82.331     458.716      18.370       0.000      23.090     355.547     306.659     217.476      43.222       0.000       0.000       0.290     690.089       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     164.576       0.000       0.000       0.000      -2.564       0.000     435.576       0.000       0.000
   365    12    31  2023       8       0  hru008               792.783      74.584      74.568       0.000     209.029     209.030      26.508     558.995      82.331     457.838      18.826       0.000      20.881     305.669     278.166     203.451      43.100       0.000       0.000       0.290     690.093       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     209.029       0.000       0.000       0.000      -1.443       0.000     553.230       0.000       0.000
   365    12    31  2023       9       0  hru009               792.783      74.582      74.566      83.871      96.403     180.273     418.114     566.104      82.334     461.235      22.536      83.742      75.021     580.832     411.413     361.520      31.395       0.000       0.000       0.290     690.067       0.000       0.000     244.168     118.065       0.000      83.742       0.000       0.000      96.403       0.000       0.000       0.000       0.000       0.000      -8.886      36.376    1456.195       0.000       0.000
   365    12    31  2023      10       0  hru010               792.783      74.584      74.568       0.000     162.189     162.190      73.900     559.473      82.330     458.791      18.351       0.000      23.213     357.535     307.657     218.178      43.224       0.000       0.000       0.290     690.098       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     162.189       0.000       0.000       0.000      -2.616       0.000     429.260       0.000       0.000
   365    12    31  2023      11       0  hru011               792.783      74.582      74.566       0.000     164.123     164.123      71.998     559.402      82.335     458.699      18.368       0.000      23.115     355.942     306.879     217.632      43.224       0.000       0.000       0.290     690.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     164.123       0.000       0.000       0.000      -2.573       0.000     434.378       0.000       0.000
   365    12    31  2023      12       0  hru012               792.783      74.581      74.565       0.008     110.012     110.020     125.304     561.037      82.336     460.670      18.031       0.007      26.025     390.523     324.023     233.689      43.252       0.000       0.000       0.290     690.056       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.007       0.000       0.000     110.012       0.000       0.000       0.000      -3.488       0.001     291.166       0.000       0.000
   365    12    31  2023      13       0  hru013               792.783      74.582      74.566       0.000     175.558     175.559      60.507     559.218      82.336     458.427      18.455       0.000      22.527     345.648     301.570     214.216      43.210       0.000       0.000       0.290     690.060       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     175.558       0.000       0.000       0.000      -2.312       0.000     464.644       0.000       0.000
   365    12    31  2023      14       0  hru014               792.783      74.582      74.566       0.000     170.860     170.860      65.243     559.280      82.336     458.525      18.419       0.000      22.768     350.046     303.878     215.630      43.216       0.000       0.000       0.290     690.059       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     170.860       0.000       0.000       0.000      -2.422       0.000     452.209       0.000       0.000
   365    12    31  2023      15       0  hru015               792.783      74.583      74.567       0.000     188.491     188.491      47.400     559.105      82.333     458.206      18.566       0.000      21.877     332.171     294.181     210.246      43.184       0.000       0.000       0.290     690.076       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     188.491       0.000       0.000       0.000      -1.993       0.000     498.872       0.000       0.000
   365    12    31  2023      16       0  hru016               792.783      74.583      74.567      32.473     726.605     759.078     597.440     564.563      82.334     457.953      24.277      32.461      66.060     553.661     349.050     274.354      30.606       0.000       0.000       0.290     690.073       0.000       0.000       1.058    1116.007       0.000       0.000       0.000      32.461       0.000       0.000     726.605       0.000       0.000       0.000     -10.732       3.460    2485.966       0.000       0.000
   365    12    31  2023      17       0  hru017               792.783      74.583      74.567       0.000     189.500     189.501      66.312     539.006      82.333     439.966      16.707       0.000      21.409     294.839     259.040     169.187      28.368       0.000       0.000       0.290     690.075       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     189.500       0.000       0.000       0.000      -1.878       0.000     566.733       0.000       0.000
   365    12    31  2023      18       0  hru018               792.783      74.583      74.567      18.507     532.862     551.369     367.924     564.184      82.333     461.179      20.671      18.507      34.674     430.130     391.003     262.374      28.250       0.000       0.000       0.290     690.077       0.000       0.000      36.548     652.014       0.000       0.000       0.000      18.507       0.000       0.000     532.862       0.000       0.000       0.000      -2.052       0.940    1701.568       0.000       0.000
   365    12    31  2023      19       0  hru019               792.783      74.581      74.565      22.683     703.757     726.440     390.261     573.177      82.337     465.541      25.299      22.666      44.908     509.047     458.368     327.406      48.727       0.000       0.000       0.290     690.052       0.000       0.000     244.593     649.603       0.000      22.666       0.000       0.000     703.757       0.000       0.000       0.000       0.000       0.000      -2.658       3.651    1862.609       0.000       0.000
   365    12    31  2023      20       0  hru020               792.783      74.583      74.567      11.459     779.606     791.065     398.526     566.135      82.333     461.309      22.493      11.458      36.572     521.096     359.281     269.240      28.813       0.000       0.000       0.290     690.076       0.000       0.000      19.308     934.544       0.000       0.000       0.000      11.458       0.000       0.000     779.606       0.000       0.000       0.000      -8.487       1.055    2489.487       0.000       0.000
   365    12    31  2023      21       0  hru021               792.783      74.582      74.566       0.000     139.355     139.355     115.037     541.513      82.334     442.815      16.364       0.000      23.092     334.811     277.539     182.197      26.449       0.000       0.000       0.290     690.071       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     139.355       0.000       0.000       0.000      -3.004       0.000     444.997       0.000       0.000
   365    12    31  2023      22       0  hru022               792.783      74.582      74.566       0.000     131.618     131.618     122.234     542.202      82.334     443.539      16.329       0.000      23.357     339.894     279.643     184.428      26.450       0.000       0.000       0.290     690.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     131.618       0.000       0.000       0.000      -3.160       0.000     420.291       0.000       0.000
   365    12    31  2023      23       0  hru023               792.783      74.581      74.565       0.000     116.858     116.858     109.679     569.639      82.336     463.078      24.225       0.000      24.903     401.952     338.053     251.677      64.157       0.000       0.000       0.290     690.054       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     116.858       0.000       0.000       0.000      -3.351       0.000      94.033       0.000       0.000
   365    12    31  2023      24       0  hru024               792.783      74.581      74.565       0.003     104.085     104.088     122.360     569.870      82.336     463.361      24.172       0.003      25.577     407.945     341.228     255.392      64.161       0.000       0.000       0.290     690.054       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.003       0.000       0.000     104.085       0.000       0.000       0.000      -3.499       0.001      83.755       0.000       0.000
   365    12    31  2023      25       0  hru025               792.783      74.582      74.566       0.000     185.536     185.537      71.304     538.058      82.334     439.129      16.595       0.000      21.566     297.405     260.021     168.719      26.441       0.000       0.000       0.290     690.070       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     185.536       0.000       0.000       0.000      -1.961       0.000     592.467       0.000       0.000
   365    12    31  2023      26       0  hru026               792.783      74.581      74.565       0.000     139.008     139.008     125.032     542.440      82.336     443.667      16.436       0.000      23.478     342.695     281.120     185.349      26.487       0.000       0.000       0.290     690.054       0.000       0.000       0.000      10.350       0.000       0.000       0.000       0.000       0.000       0.000     139.008       0.000       0.000       0.000      -3.230       0.000     443.888       0.000       0.000
   365    12    31  2023      27       0  hru027               792.783      74.581      74.565       0.544      86.761      87.305     178.384     530.349      82.336     431.236      16.777       0.543      52.153     326.994     266.662     164.543      28.363       0.000       0.000       0.290     690.053       0.000       0.000       0.000       0.000       0.000       0.249       0.000       0.295      39.736       0.000      47.026       0.000       0.000       0.000      -3.164       0.148     499.169       0.000       0.000
   365    12    31  2023      28       0  hru028               792.783      74.584      74.568       0.000     189.384     189.385      67.561     537.862      82.330     438.920      16.612       0.000      21.444     293.616     258.000     167.590      26.439       0.000       0.000       0.290     690.096       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     189.384       0.000       0.000       0.000      -1.868       0.000     604.754       0.000       0.000
   365    12    31  2023      29       0  hru029               792.783      74.581      74.565       0.610     180.013     180.623     115.536     525.706      82.337     425.694      17.675       0.609      49.906     287.139     243.362     146.562      28.478       0.000       0.000       0.290     690.047       0.000       0.000       5.326      21.263       0.000       0.609       0.000       0.000     180.013       0.000       0.000       0.000       0.000       0.000      -2.296       0.005    1035.676       0.000       0.000
   365    12    31  2023      30       0  hru030               792.783      74.581      74.565       4.184      55.961      60.145     180.811     557.008      82.337     458.325      16.346       4.183      59.810     409.373     313.050     240.406      26.128       0.000       0.000       0.290     690.049       0.000       0.000       0.000       0.000       0.000       0.000       0.000       4.183       0.000       0.000      55.961       0.000       0.000       0.000      -5.052       0.042     845.316       0.000       0.000
   365    12    31  2023      31       0  hru031               792.783      74.582      74.566      22.847     601.742     624.589     188.385     567.682      82.336     464.497      20.850      22.847      26.744     470.362     282.994     215.273      30.270       0.000       0.000       0.290     690.060       0.000       0.000     174.513     402.532       0.000       0.000       0.000      22.847       0.000       0.000     601.742       0.000       0.000       0.000      -9.827       1.772    1799.612       0.000       0.000
   365    12    31  2023      32       0  hru032               792.783      73.564      73.549      22.470      32.388      54.859     182.054     560.862      87.800     413.807      59.255      22.469      77.029     401.802     310.159     237.397      26.021       0.000       0.000       0.285     690.103       0.000       0.000       0.000       0.000       0.000       0.000       0.000      22.469       0.000       0.000      32.388       0.000       0.000       0.000      -4.807       0.822    2004.884       0.000       0.000
   365    12    31  2023      33       0  hru033               792.783      73.641      73.626       0.000     158.701     158.701      84.328     552.415      87.111     404.474      60.830       0.000      21.971     311.819     263.934     175.135      26.164       0.000       0.000       0.285     690.062       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     158.701       0.000       0.000       0.000      -2.512       0.000     506.774       0.000       0.000
   365    12    31  2023      34       0  hru034               792.783      78.240      78.195       1.102     202.234     203.336     250.051     340.642      35.860     137.553     167.230       1.102      58.677     357.711     334.647     247.438      34.664       0.000       0.000       0.311     689.978       0.000       0.000       0.000       0.000       0.000       0.000       0.000       1.102       0.000       0.000     202.234       0.000       0.000       0.000      -1.210       0.032    1478.471       0.000       0.000
   365    12    31  2023      35       0  hru035               792.783      78.240      78.195       0.000     323.688     323.689     132.886     337.312      35.859     137.369     164.084       0.000      24.831     301.497     281.537     220.224      31.432       0.000       0.000       0.311     689.980       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     323.688       0.000       0.000       0.000      -1.047       0.000    1033.622       0.000       0.000
   365    12    31  2023      36       0  hru036               792.783      78.239      78.195       0.000     156.512     156.512     300.771     336.715      35.861     137.365     163.489       0.000      31.239     378.558     355.666     263.663      31.443       0.000       0.000       0.311     689.964       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     156.512       0.000       0.000       0.000      -1.200       0.000     499.783       0.000       0.000
   365    12    31  2023      37       0  hru037               792.783      78.239      78.195      19.205      43.025      62.229     388.358     342.145      35.861     137.246     169.038      19.204      76.422     455.114     455.543     357.520      31.464       0.000       0.000       0.311     689.961       0.000       0.000       0.000       0.000       0.000       0.000       0.000      19.204       0.000       0.000      43.025       0.000       0.000       0.000       0.023       0.658     649.902       0.000       0.000
   365    12    31  2023      38       0  hru038               792.783      78.239      78.195       0.000     274.997     274.997     181.765     337.194      35.862     137.359     163.974       0.000      26.528     328.525     306.904     232.915      31.435       0.000       0.000       0.311     689.957       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     153.726       0.000     121.271       0.000       0.000       0.000      -1.134       0.000     878.137       0.000       0.000
   365    12    31  2023      39       0  hru039               792.783      78.239      78.195       0.000     335.188     335.188     121.357     337.325      35.862     137.359     164.104       0.000      24.454     294.487     274.958     217.232      31.432       0.000       0.000       0.311     689.958       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     335.188       0.000       0.000       0.000      -1.024       0.000    1070.344       0.000       0.000
   365    12    31  2023      40       0  hru040               792.783      78.241      78.196     104.548      47.813     152.361     388.932     347.398      35.855     137.490     174.052     104.545      88.637     448.528     451.038     371.270      31.605       0.000       0.000       0.311     690.014       0.000       0.000      39.376      56.756       0.000       0.000       0.000     104.545       0.000       0.000      47.813       0.000       0.000       0.000       0.132       2.523    2959.697       0.000       0.000
   365    12    31  2023      41       0  hru041               792.783      78.240      78.195       0.051     337.054     337.105     266.398     348.169      35.861     137.539     174.769       0.051      29.996     377.006     328.464     255.999      32.080       0.000       0.000       0.311     689.967       0.000       0.000      32.385     123.867       0.000       0.000       0.000       0.051       0.000       0.000     337.054       0.000       0.000       0.000      -2.546       0.011    1076.302       0.000       0.000
   365    12    31  2023      42       0  hru042               792.783      78.239      78.195      20.201      35.168      55.370     394.603     342.708      35.861     137.246     169.601      20.200      76.814     456.722     458.202     360.359      31.528       0.000       0.000       0.311     689.962       0.000       0.000       0.000       0.000       0.000       0.000       0.000      20.200       0.000       0.000      35.168       0.000       0.000       0.000       0.078       1.961     531.227       0.000       0.000
   365    12    31  2023      43       0  hru043               792.783      75.327      75.305     508.463       0.005     508.468       0.000     595.758      42.329     113.884     439.546     508.460       0.000      20.587      18.633      15.107       9.521       0.000       0.000       0.294     690.081       0.000       0.000       0.000      37.171       0.000       0.000       0.000     508.460       0.000       0.000       0.005       0.000       0.000       0.000      -0.102      12.011       0.075       0.000     228.575
   365    12    31  2023      44       0  hru044               792.783      75.327      75.305     528.616       6.371     534.987      58.115     773.365      49.865     321.217     402.283     528.608       0.000     121.070      79.576     135.442      15.427       0.000       0.000       0.294     690.085       0.000       0.000       0.000     328.419       0.000       0.000       0.000     528.608       0.000       0.000       6.371       0.000       0.000       0.000      -2.176      32.674      96.231       0.000     188.848
   365    12    31  2023      45       0  hru045               792.783      75.326      75.304     471.168       0.000     471.168       0.000     622.881      34.640      76.445     511.796     471.161       0.000      11.975      12.435       8.250       8.250       0.000       0.000       0.294     690.073       0.000       0.000       0.000       0.000       0.000       0.000       0.000     471.161       0.000       0.000       0.000       0.000       0.000       0.000       0.024      26.937       0.000       0.000     265.583
   365    12    31  2023      46       0  hru046               792.783      75.326      75.303     525.131       5.764     530.894       4.712     652.337      49.504     201.488     401.345     525.119       0.000      92.926      55.906      49.342      13.382       0.000       0.000       0.294     690.059       0.000       0.000       0.000     134.373       0.000       0.000       0.000     525.119       0.000       0.000       5.764       0.000       0.000       0.000      -1.942      54.473      19.721       0.000     208.213
   365    12    31  2023      47       0  hru047               792.783      75.325      75.303     471.516       0.000     471.516       0.000     622.458      34.672      76.405     511.381     471.499       0.000      12.270      12.730       8.536       8.536       0.000       0.000       0.294     690.051       0.000       0.000       0.000       0.000       0.000     471.499       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.024      69.922       0.000       0.000     265.465
   365    12    31  2023      48       0  hru048               792.783      75.325      75.303     473.551       0.000     473.551       0.000     620.140      35.063      75.679     509.399     473.539       0.000      13.768      14.229       9.903       9.903       0.000       0.000       0.294     690.046       0.000       0.000       0.000       0.000       0.000       0.000     473.539       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.024      49.889       0.000       0.000     264.796
   365    12    31  2023      49       0  hru049               792.783      75.326      75.303     476.079       0.000     476.079       0.000     614.690      35.550      75.889     503.251     476.076       0.000      13.327      13.728       9.619       9.619       0.000       0.000       0.294     690.059       0.000       0.000       0.000       0.000       0.000     476.076       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.021      14.055       0.000       0.000     261.392
   365    12    31  2023      50       0  hru050               792.783      75.325      75.303     476.077       0.000     476.077       0.000     614.692      35.550      75.889     503.253     476.076       0.000      13.327      13.728       9.618       9.618       0.000       0.000       0.294     690.058       0.000       0.000       0.000       0.000       0.000       0.000       0.000     476.076       0.000       0.000       0.000       0.000       0.000       0.000       0.021       5.430       0.000       0.000     261.395
   365    12    31  2023      51       0  hru051               792.783      75.327      75.304     476.085       0.000     476.085       0.000     614.701      35.547      75.888     503.266     476.073       0.000      13.331      13.731       9.621       9.621       0.000       0.000       0.294     690.076       0.000       0.000       0.000       0.000       0.000       0.000       0.000     476.073       0.000       0.000       0.000       0.000       0.000       0.000       0.021      50.835       0.000       0.000     261.404
   365    12    31  2023      52       0  hru052               792.783      75.327      75.305     520.417       0.026     520.443       0.001     638.726      48.158     180.971     409.597     520.404       0.000      60.778      26.226      41.485      14.751       0.000       0.000       0.294     690.083       0.000       0.000       0.000     102.500       0.000       0.000       0.000     520.404       0.000       0.000       0.026       0.000       0.000       0.000      -1.812      60.173       0.069       0.000     212.842
   365    12    31  2023      53       0  hru053               792.783      75.325      75.303     618.013     533.363    1151.375     463.033     805.648      49.868     347.033     408.748     617.993       0.000     548.570     191.003     285.869      38.866       0.000       0.000       0.294     690.058       0.000       0.000       0.000    1346.428       0.000       0.000       0.000     617.993       0.000       0.000     533.363       0.000       0.000       0.000     -18.754     106.248    1411.632       0.000     209.556
   365    12    31  2023      54       0  hru054               792.783      75.325      75.303     476.088       0.000     476.088       0.000     614.697      35.550      75.890     503.257     476.075       0.000      13.327      13.727       9.618       9.618       0.000       0.000       0.294     690.056       0.000       0.000       0.000       0.000       0.000       0.000       0.000     476.075       0.000       0.000       0.000       0.000       0.000       0.000       0.021      55.281       0.000       0.000     261.398
   365    12    31  2023      55       0  hru055               792.783      78.597      78.549      32.189      53.238      85.427     222.533     486.993      10.025      37.514     439.454      32.188      80.675     416.828     377.098     269.687      28.350       0.000       0.000       0.316     689.974       0.000       0.000       0.000       0.000       0.000       0.000       0.000      32.188       0.000       0.000      53.238       0.000       0.000       0.000      -2.084       0.768    3295.503       0.000       0.000
   365    12    31  2023      56       0  hru056               792.783      78.566      78.517       0.000     224.423     224.424      52.086     517.652       8.786      26.203     482.663       0.000      22.688     330.306     306.615     239.345      46.431       0.000       0.000       0.316     689.971       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     224.423       0.000       0.000       0.000      -1.243       0.000     593.973       0.000       0.000
   365    12    31  2023      57       0  hru057               792.783      78.517      78.471      34.892      36.173      71.065     240.162     483.611       9.557      27.963     446.091      34.890      81.640     422.394     384.138     279.954      28.569       0.000       0.000       0.316     689.988       0.000       0.000       0.000       0.000       0.000       0.000       0.000      34.890       0.000       0.000      36.173       0.000       0.000       0.000      -2.007       1.141    2239.184       0.000       0.000
   365    12    31  2023      58       0  hru058               792.783      78.560      78.511      75.280      57.343     132.623     254.595     498.520      12.572      50.477     435.471      75.279      82.188     427.470     392.802     287.740      28.434       0.000       0.000       0.316     689.989       0.000       0.000      62.499      28.583       0.000       0.000       0.000      75.279       0.000       0.000      57.343       0.000       0.000       0.000      -1.818       0.695    3549.587       0.000       0.000
   365    12    31  2023      59       0  hru059               792.783      78.559      78.513      35.703      24.561      60.264     247.781     486.622      10.174      36.737     439.711      35.702      82.018     422.386     386.929     284.057      28.530       0.000       0.000       0.316     689.985       0.000       0.000       0.000       0.000       0.000       0.000       0.000      35.702       0.000       0.000      24.561       0.000       0.000       0.000      -1.860       1.168    1520.334       0.000       0.000
   365    12    31  2023      60       0  hru060               792.783      78.559      78.513      17.534     145.936     163.470     233.516     497.173      11.840      41.988     443.344      17.534      64.842     439.583     383.331     280.497      28.721       0.000       0.000       0.316     689.977       0.000       0.000      13.686      84.550       0.000       0.000       0.000      17.534       0.000       0.000     145.936       0.000       0.000       0.000      -2.950       0.190    2204.407       0.000       0.000
   365    12    31  2023      61       0  hru061               792.783      78.537      78.491       5.620     183.169     188.789     181.213     494.652      12.972      49.678     432.002       5.619      54.050     334.411     271.699     174.348      28.524       0.000       0.000       0.316     689.953       0.000       0.000      19.292      49.198       0.000       0.000       0.000       5.619       0.000       0.000     183.169       0.000       0.000       0.000      -3.289       0.333     626.685       0.000       0.000
   365    12    31  2023      62       0  hru062               792.783      78.503      78.457     201.798     360.883     562.681     230.334     515.631      13.772      51.443     450.415     201.797      56.166     368.795     261.162     191.331      30.663       0.000       0.000       0.316     689.950       0.000       0.000     345.974     163.987       0.000     201.797       0.000       0.000     360.883       0.000       0.000       0.000       0.000       0.000      -5.645       6.636    1234.704       0.000       0.000
   365    12    31  2023      63       0  hru063               792.783      78.597      78.549      27.307      29.125      56.432     307.404     496.056      12.070      42.930     441.056      27.305      69.793     469.682     414.412     313.734      28.768       0.000       0.000       0.316     689.970       0.000       0.000      18.419      45.745       0.000       0.000       0.000      27.305       0.000       0.000      29.125       0.000       0.000       0.000      -2.898       2.173     439.940       0.000       0.000
   365    12    31  2023      64       0  hru064               792.783      78.510      78.464       0.000     243.656     243.656      32.880     517.578      10.374      28.675     478.530       0.000      21.883     308.815     287.404     234.266      46.398       0.000       0.000       0.316     689.978       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     243.656       0.000       0.000       0.000      -1.123       0.000     644.875       0.000       0.000
   365    12    31  2023      65       0  hru065               792.783      78.559      78.513       0.000     236.811     236.811      36.198     521.112      11.316      39.756     470.040       0.000      22.004     313.329     291.431     234.881      46.283       0.000       0.000       0.316     689.976       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     236.811       0.000       0.000       0.000      -1.149       0.000     626.758       0.000       0.000
   365    12    31  2023      66       0  hru066               792.783      78.560      78.511       0.000     249.761     249.762      26.826     517.516      10.202      28.928     478.386       0.000      21.641     301.275     280.850     232.623      46.370       0.000       0.000       0.316     689.974       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     249.761       0.000       0.000       0.000      -1.071       0.000     661.034       0.000       0.000
   365    12    31  2023      67       0  hru067               792.783      78.559      78.513       0.000     241.491     241.491      64.332     488.376      10.224      36.738     441.413       0.000      22.181     282.400     257.512     195.755      30.830       0.000       0.000       0.316     689.966       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     241.491       0.000       0.000       0.000      -1.305       0.000     722.220       0.000       0.000
   365    12    31  2023      68       0  hru068               792.783      78.608      78.559       0.000     208.305     208.305      66.279     519.636       9.055      34.328     476.253       0.000      23.298     344.964     319.617     242.163      46.134       0.000       0.000       0.316     689.954       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     208.305       0.000       0.000       0.000      -1.330       0.000     551.312       0.000       0.000
   365    12    31  2023      69       0  hru069               792.783      78.559      78.513       0.000     186.151     186.151      90.312     517.804       9.050      26.843     481.911       0.000      24.453     364.940     338.073     249.397      46.507       0.000       0.000       0.316     689.951       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     186.151       0.000       0.000       0.000      -1.409       0.000     492.679       0.000       0.000
   365    12    31  2023      70       0  hru070               792.783      78.520      78.474       0.000     158.872     158.873     110.138     525.445      14.255      52.921     458.270       0.000      25.348     383.384     352.662     252.195      45.715       0.000       0.000       0.316     689.949       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000     158.872       0.000       0.000       0.000      -1.612       0.000     420.481       0.000       0.000
