 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha                    kgha             kgha
   365    12    31  2023       1       0  hru001         0.000       0.000      -9.419     -11.549            0.000            0.000            0.000            1.995            1.376            8.474            0.228           48.433            5.101            5.490            4.941           53.357            7.342            0.000            0.000
   365    12    31  2023       2       0  hru002         0.000       0.000      -9.479     -11.646            0.000            0.000            0.000            1.983            1.378            8.487            0.228           48.519            5.107            5.490            4.941           53.521            7.361            0.000            0.000
   365    12    31  2023       3       0  hru003         0.000       0.000      -7.817      -9.889            0.000            0.000            0.000            1.283            0.999            8.427            0.162           46.047            4.882            5.490            4.941           46.934            6.699            0.000            0.000
   365    12    31  2023       4       0  hru004         0.000       0.000      -8.597     -11.813            0.000            0.000            0.000            2.236            1.621            7.957            0.271           46.301            4.917            5.490            4.941           48.447            6.839            0.000            0.000
   365    12    31  2023       5       0  hru005         0.000       0.000      -8.765     -11.885            0.000            0.000            0.000            2.310            1.629            7.994            0.273           46.605            4.945            5.490            4.941           49.167            6.921            0.000            0.000
   365    12    31  2023       6       0  hru006         0.000       0.000      -8.666     -11.842            0.000            0.000            0.000            2.271            1.625            7.975            0.272           46.450            4.931            5.490            4.941           48.799            6.879            0.000            0.000
   365    12    31  2023       7       0  hru007         0.000       0.000      -8.928     -11.955            0.000            0.000            0.000            2.369            1.635            8.015            0.274           46.780            4.961            5.490            4.941           49.589            6.968            0.000            0.000
   365    12    31  2023       8       0  hru008         0.000       0.000      -8.587     -11.809            0.000            0.000            0.000            2.231            1.620            7.953            0.271           46.274            4.914            5.490            4.941           48.383            6.831            0.000            0.000
   365    12    31  2023       9       0  hru009         0.000       0.000     -10.894     -12.451            0.000            0.000            0.000            1.393            1.495            7.751            0.249           44.320            4.591            5.490            4.941           43.380            6.157            0.000            0.000
   365    12    31  2023      10       0  hru010         0.000       0.000      -8.945     -11.962            0.000            0.000            0.000            2.372            1.636            8.017            0.274           46.796            4.963            5.490            4.941           49.630            6.973            0.000            0.000
   365    12    31  2023      11       0  hru011         0.000       0.000      -8.931     -11.956            0.000            0.000            0.000            2.369            1.635            8.015            0.274           46.783            4.961            5.490            4.941           49.597            6.969            0.000            0.000
   365    12    31  2023      12       0  hru012         0.000       0.000      -9.311     -12.122            0.000            0.000            0.000            2.449            1.651            8.056            0.276           47.142            4.995            5.490            4.941           50.490            7.067            0.000            0.000
   365    12    31  2023      13       0  hru013         0.000       0.000      -8.849     -11.920            0.000            0.000            0.000            2.349            1.632            8.005            0.273           46.699            4.954            5.490            4.941           49.393            6.946            0.000            0.000
   365    12    31  2023      14       0  hru014         0.000       0.000      -8.883     -11.935            0.000            0.000            0.000            2.356            1.633            8.010            0.273           46.735            4.957            5.490            4.941           49.480            6.956            0.000            0.000
   365    12    31  2023      15       0  hru015         0.000       0.000      -8.752     -11.879            0.000            0.000            0.000            2.307            1.628            7.992            0.272           46.587            4.943            5.490            4.941           49.123            6.916            0.000            0.000
   365    12    31  2023      16       0  hru016         0.000       0.000      -9.918     -11.479            0.000            0.000            0.000            1.273            1.473            7.265            0.246           41.007            4.372            5.490            4.941           37.200            5.523            0.000            0.000
   365    12    31  2023      17       0  hru017         0.000       0.000      -7.170      -9.343            0.000            0.000            0.000            1.414            0.988            8.686            0.160           47.840            5.046            5.490            4.941           51.562            7.165            0.000            0.000
   365    12    31  2023      18       0  hru018         0.000       0.000      -8.745     -10.345            0.000            0.000            0.000            1.138            1.055            8.097            0.172           44.113            4.704            5.490            4.941           42.403            6.230            0.000            0.000
   365    12    31  2023      19       0  hru019         0.000       0.000     -11.141     -13.076            0.000            0.000            0.000            1.406            1.780            7.010            0.299           40.629            4.333            5.490            4.941           34.628            5.318            0.000            0.000
   365    12    31  2023      20       0  hru020         0.000       0.000      -8.760     -10.374            0.000            0.000            0.000            1.008            1.054            7.847            0.172           42.462            4.543            5.490            4.941           38.893            5.831            0.000            0.000
   365    12    31  2023      21       0  hru021         0.000       0.000      -7.685      -9.817            0.000            0.000            0.000            1.433            0.992            8.722            0.161           48.103            5.071            5.490            4.941           52.215            7.239            0.000            0.000
   365    12    31  2023      22       0  hru022         0.000       0.000      -7.723      -9.834            0.000            0.000            0.000            1.437            0.993            8.727            0.161           48.145            5.075            5.490            4.941           52.322            7.251            0.000            0.000
   365    12    31  2023      23       0  hru023         0.000       0.000      -6.950      -9.589            0.000            0.000            0.000           15.286           10.909            0.817            1.867           45.681            4.863            5.490            4.941           48.043            6.703            0.000            0.000
   365    12    31  2023      24       0  hru024         0.000       0.000      -7.039      -9.628            0.000            0.000            0.000           15.369           10.939            0.807            1.872           45.753            4.870            5.490            4.941           48.185            6.719            0.000            0.000
   365    12    31  2023      25       0  hru025         0.000       0.000      -7.449      -9.717            0.000            0.000            0.000            1.412            0.985            8.696            0.160           47.864            5.048            5.490            4.941           51.600            7.169            0.000            0.000
   365    12    31  2023      26       0  hru026         0.000       0.000      -7.731      -9.838            0.000            0.000            0.000            1.433            0.994            8.709            0.161           48.023            5.064            5.490            4.941           52.017            7.220            0.000            0.000
   365    12    31  2023      27       0  hru027         0.000       0.000      -8.377     -10.353            0.000            0.000            0.000            1.431            1.002            8.633            0.163           47.656            5.023            5.490            4.941           51.808            7.131            0.000            0.000
   365    12    31  2023      28       0  hru028         0.000       0.000      -7.428      -9.708            0.000            0.000            0.000            1.410            0.984            8.693            0.160           47.843            5.046            5.490            4.941           51.547            7.163            0.000            0.000
   365    12    31  2023      29       0  hru029         0.000       0.000      -7.986     -10.187            0.000            0.000            0.000            1.377            0.987            8.529            0.160           46.860            4.949            5.490            4.941           49.851            6.922            0.000            0.000
   365    12    31  2023      30       0  hru030         0.000       0.000      -9.315     -11.621            0.000            0.000            0.000            1.897            1.381            8.413            0.229           47.986            5.065            5.490            4.941           51.873            7.229            0.000            0.000
   365    12    31  2023      31       0  hru031         0.000       0.000      -7.691      -9.632            0.000            0.000            0.000            1.139            1.039            8.103            0.169           44.168            4.717            5.490            4.941           42.712            6.269            0.000            0.000
   365    12    31  2023      32       0  hru032         0.000       0.000      -9.401     -11.722            0.000            0.000            0.000            0.492            1.188            0.807            0.203            9.383            1.912            5.490            4.941           18.912            4.021            0.000            0.000
   365    12    31  2023      33       0  hru033         0.000       0.000      -7.689     -10.022            0.000            0.000            0.000            0.325            0.809            1.032            0.138            8.971            1.843            5.490            4.941           18.234            3.909            0.000            0.000
   365    12    31  2023      34       0  hru034         0.000       0.000      -9.459     -11.625            0.000            0.000            0.000            0.574            1.337            1.446            0.228           14.321            2.497            5.490            4.941           22.593            4.462            0.000            0.000
   365    12    31  2023      35       0  hru035         0.000       0.000      -7.969     -10.172            0.000            0.000            0.000            0.420            0.924            1.743            0.157           14.263            2.489            5.490            4.941           22.468            4.443            0.000            0.000
   365    12    31  2023      36       0  hru036         0.000       0.000      -8.672     -10.469            0.000            0.000            0.000            0.429            0.941            1.737            0.160           14.306            2.496            5.490            4.941           22.571            4.461            0.000            0.000
   365    12    31  2023      37       0  hru037         0.000       0.000     -10.682     -12.411            0.000            0.000            0.000            0.513            1.382            1.350            0.236           13.891            2.419            5.490            4.941           21.796            4.305            0.000            0.000
   365    12    31  2023      38       0  hru038         0.000       0.000      -8.196     -10.266            0.000            0.000            0.000            0.422            0.929            1.741            0.158           14.269            2.490            5.490            4.941           22.487            4.446            0.000            0.000
   365    12    31  2023      39       0  hru039         0.000       0.000      -7.913     -10.148            0.000            0.000            0.000            0.420            0.923            1.744            0.157           14.262            2.489            5.490            4.941           22.464            4.442            0.000            0.000
   365    12    31  2023      40       0  hru040         0.000       0.000     -10.520     -12.250            0.000            0.000            0.000            0.566            1.376            1.350            0.235           14.015            2.432            5.490            4.941           22.140            4.358            0.000            0.000
   365    12    31  2023      41       0  hru041         0.000       0.000      -8.804     -10.553            0.000            0.000            0.000            0.351            0.946            1.575            0.161           13.238            2.319            5.490            4.941           20.491            4.080            0.000            0.000
   365    12    31  2023      42       0  hru042         0.000       0.000     -10.732     -12.432            0.000            0.000            0.000            0.509            1.385            1.344            0.237           13.859            2.413            5.490            4.941           21.743            4.294            0.000            0.000
   365    12    31  2023      43       0  hru043         0.000       0.000      -8.728     -11.414            0.000            0.000            0.000            0.049            0.751            3.961            0.127           21.084            4.015            5.490            4.941           25.001            5.645            0.000            0.000
   365    12    31  2023      44       0  hru044         0.000       0.000      -9.536     -11.889            0.000            0.000            0.000            0.392            1.038            3.939            0.176           21.596            4.624            5.490            4.941           24.149            6.129            0.000            0.000
   365    12    31  2023      45       0  hru045         0.000       0.000      -8.029     -11.016            0.000            0.000            0.000            0.004            0.570            3.332            0.097           16.905            2.861            5.490            4.941           20.434            3.503            0.000            0.000
   365    12    31  2023      46       0  hru046         0.000       0.000      -8.496     -10.917            0.000            0.000            0.000            0.332            0.954            4.205            0.162           22.702            4.754            5.490            4.941           25.541            6.306            0.000            0.000
   365    12    31  2023      47       0  hru047         0.000       0.000      -8.206     -11.256            0.000            0.000            0.000            0.000            0.302            3.529            0.050           16.865            2.858            5.490            4.941           20.286            3.495            0.000            0.000
   365    12    31  2023      48       0  hru048         0.000       0.000      -6.901      -9.712            0.000            0.000            0.000            0.000            4.247            0.551            0.728           16.851            2.811            5.490            4.941           20.642            3.386            0.000            0.000
   365    12    31  2023      49       0  hru049         0.000       0.000      -8.679     -11.922            0.000            0.000            0.000            0.000            0.678            3.281            0.115           17.064            2.898            5.490            4.941           20.693            3.566            0.000            0.000
   365    12    31  2023      50       0  hru050         0.000       0.000      -8.679     -11.922            0.000            0.000            0.000            0.000            0.678            3.281            0.115           17.064            2.898            5.490            4.941           20.693            3.566            0.000            0.000
   365    12    31  2023      51       0  hru051         0.000       0.000      -8.679     -11.922            0.000            0.000            0.000            0.000            0.678            3.281            0.115           17.063            2.898            5.490            4.941           20.692            3.566            0.000            0.000
   365    12    31  2023      52       0  hru052         0.000       0.000      -9.515     -12.360            0.000            0.000            0.000            0.098            0.975            4.332            0.166           23.538            4.835            5.490            4.941           27.827            6.629            0.000            0.000
   365    12    31  2023      53       0  hru053         0.000       0.000     -11.602     -13.365            0.000            0.000            0.000            0.258            1.379            3.298            0.235           19.398            4.163            5.490            4.941           20.379            5.289            0.000            0.000
   365    12    31  2023      54       0  hru054         0.000       0.000      -8.679     -11.922            0.000            0.000            0.000            0.000            0.678            3.281            0.115           17.064            2.898            5.490            4.941           20.693            3.566            0.000            0.000
   365    12    31  2023      55       0  hru055         0.000       0.000      -9.279     -11.484            0.000            0.000            0.000            1.983            1.361            8.465            0.226           48.278            5.092            5.490            4.941           52.991            7.308            0.000            0.000
   365    12    31  2023      56       0  hru056         0.000       0.000      -8.720     -11.865            0.000            0.000            0.000            2.296            1.627            7.987            0.272           46.541            4.939            5.490            4.941           49.013            6.903            0.000            0.000
   365    12    31  2023      57       0  hru057         0.000       0.000      -9.345     -11.514            0.000            0.000            0.000            1.989            1.368            8.473            0.227           48.358            5.098            5.490            4.941           53.165            7.325            0.000            0.000
   365    12    31  2023      58       0  hru058         0.000       0.000      -9.559     -11.640            0.000            0.000            0.000            1.925            1.390            8.362            0.231           47.714            5.037            5.490            4.941           51.636            7.167            0.000            0.000
   365    12    31  2023      59       0  hru059         0.000       0.000      -9.387     -11.533            0.000            0.000            0.000            1.993            1.373            8.477            0.228           48.408            5.100            5.490            4.941           53.288            7.336            0.000            0.000
   365    12    31  2023      60       0  hru060         0.000       0.000      -9.409     -11.679            0.000            0.000            0.000            1.812            1.395            8.241            0.232           46.869            4.962            5.490            4.941           49.221            6.952            0.000            0.000
   365    12    31  2023      61       0  hru061         0.000       0.000      -8.517     -10.772            0.000            0.000            0.000            1.811            1.354            8.173            0.225           46.371            4.905            5.490            4.941           48.815            6.814            0.000            0.000
   365    12    31  2023      62       0  hru062         0.000       0.000      -9.123     -11.203            0.000            0.000            0.000            1.596            1.389            7.816            0.231           44.205            4.715            5.490            4.941           44.028            6.331            0.000            0.000
   365    12    31  2023      63       0  hru063         0.000       0.000      -9.362     -11.785            0.000            0.000            0.000            1.280            1.292           -0.766            0.221            0.773            0.122            5.490            4.941            1.784            0.282            0.000            0.000
   365    12    31  2023      64       0  hru064         0.000       0.000      -7.961     -11.654            0.000            0.000            0.000            1.937            1.536           -0.929            0.263            0.856            0.136            5.490            4.941            1.944            0.310            0.000            0.000
   365    12    31  2023      65       0  hru065         0.000       0.000      -7.994     -11.669            0.000            0.000            0.000            1.909            1.535           -0.926            0.263            0.851            0.134            5.490            4.941            2.066            0.328            0.000            0.000
   365    12    31  2023      66       0  hru066         0.000       0.000      -7.916     -11.635            0.000            0.000            0.000            1.971            1.535           -0.929            0.263            0.847            0.135            5.490            4.941            1.917            0.306            0.000            0.000
   365    12    31  2023      67       0  hru067         0.000       0.000      -6.446      -9.197            0.000            0.000            0.000            1.125            0.844           -0.415            0.145            0.869            0.139            5.490            4.941            2.015            0.322            0.000            0.000
   365    12    31  2023      68       0  hru068         0.000       0.000      -8.203     -11.757            0.000            0.000            0.000            1.866            1.537           -0.930            0.263            0.845            0.134            5.490            4.941            2.010            0.324            0.000            0.000
   365    12    31  2023      69       0  hru069         0.000       0.000      -8.357     -11.822            0.000            0.000            0.000            1.861            1.547           -0.934            0.265            0.866            0.137            5.490            4.941            1.944            0.309            0.000            0.000
   365    12    31  2023      70       0  hru070         0.000       0.000      -8.516     -11.892            0.000            0.000            0.000            1.803            1.535           -0.935            0.263            0.807            0.128            5.490            4.941            2.207            0.360            0.000            0.000
   365    12    31  2023      71       0  hru071         0.000       0.000      -8.600     -11.928            0.000            0.000            0.000            1.861            1.553           -0.944            0.266            0.845            0.134            5.490            4.941            1.915            0.306            0.000            0.000
   365    12    31  2023      72       0  hru072         0.000       0.000      -8.307     -11.802            0.000            0.000            0.000            1.876            1.539           -0.932            0.264            0.847            0.134            5.490            4.941            1.959            0.311            0.000            0.000
   365    12    31  2023      73       0  hru073         0.000       0.000     -10.138     -12.021            0.000            0.000            0.000            0.982            1.339           -0.826            0.230            0.669            0.106            5.490            4.941            1.123            0.177            0.000            0.000
   365    12    31  2023      74       0  hru074         0.000       0.000      -8.859     -11.511            0.000            0.000            0.000            1.638            1.256           -0.725            0.215            0.867            0.137            5.490            4.941            1.944            0.310            0.000            0.000
   365    12    31  2023      75       0  hru075         0.000       0.000      -8.880     -11.465            0.000            0.000            0.000            1.552            1.265           -0.743            0.217            0.810            0.129            5.490            4.941            1.847            0.301            0.000            0.000
   365    12    31  2023      76       0  hru076         0.000       0.000      -8.226     -10.785            0.000            0.000            0.000            1.210            1.271           -0.733            0.218            0.853            0.135            5.490            4.941            1.979            0.316            0.000            0.000
   365    12    31  2023      77       0  hru077         0.000       0.000      -8.225     -10.228            0.000            0.000            0.000            0.644            0.894           -0.455            0.153            0.833            0.132            5.490            4.941            2.004            0.327            0.000            0.000
   365    12    31  2023      78       0  hru078         0.000       0.000      -7.571      -9.939            0.000            0.000            0.000            0.813            0.871           -0.440            0.149            0.841            0.134            5.490            4.941            1.914            0.305            0.000            0.000
   365    12    31  2023      79       0  hru079         0.000       0.000      -9.702     -10.881            0.000            0.000            0.000            0.468            0.965           -0.564            0.165            0.523            0.084            5.490            4.941            0.746            0.119            0.000            0.000
   365    12    31  2023      80       0  hru080         0.000       0.000      -6.778      -9.595            0.000            0.000            0.000            1.101            0.842           -0.415            0.144            0.842            0.133            5.490            4.941            1.946            0.311            0.000            0.000
   365    12    31  2023      81       0  hru081         0.000       0.000     -10.750     -11.409            0.000            0.000            0.000            0.311            1.054           -0.679            0.181            0.242            0.041            5.490            4.941            0.183            0.032            0.000            0.000
   365    12    31  2023      82       0  hru082         0.000       0.000      -9.249     -10.701            0.000            0.000            0.000            0.577            0.938           -0.520            0.161            0.707            0.112            5.490            4.941            1.272            0.202            0.000            0.000
   365    12    31  2023      83       0  hru083         0.000       0.000      -8.775     -10.458            0.000            0.000            0.000            0.585            0.914           -0.493            0.157            0.684            0.108            5.490            4.941            1.522            0.244            0.000            0.000
   365    12    31  2023      84       0  hru084         0.000       0.000      -7.465      -9.890            0.000            0.000            0.000            0.928            0.864           -0.434            0.148            0.830            0.131            5.490            4.941            1.988            0.317            0.000            0.000
   365    12    31  2023      85       0  hru085         0.000       0.000      -7.059      -9.715            0.000            0.000            0.000            1.107            0.851           -0.423            0.146            0.858            0.136            5.490            4.941            1.951            0.311            0.000            0.000
   365    12    31  2023      86       0  hru086         0.000       0.000      -9.911     -12.122            0.000            0.000            0.000            1.011            1.324           -0.818            0.227            0.638            0.102            5.490            4.941            1.457            0.233            0.000            0.000
   365    12    31  2023      87       0  hru087         0.000       0.000     -13.213     -14.016            0.000            0.000            0.000            0.555            1.784           -1.203            0.306            0.323            0.055            5.490            4.941            0.338            0.059            0.000            0.000
   365    12    31  2023      88       0  hru088         0.000       0.000      -6.644      -9.707            0.000            0.000            0.000           13.331           11.548           -8.392            1.980            0.766            0.122            5.490            4.941            2.143            0.342            0.000            0.000
   365    12    31  2023      89       0  hru089         0.000       0.000      -7.812     -10.039            0.000            0.000            0.000            0.689            0.869           -0.452            0.149            0.743            0.118            5.490            4.941            2.108            0.339            0.000            0.000
   365    12    31  2023      90       0  hru090         0.000       0.000      -7.705      -9.994            0.000            0.000            0.000            0.728            0.868           -0.428            0.149            0.877            0.139            5.490            4.941            2.031            0.323            0.000            0.000
   365    12    31  2023      91       0  hru091         0.000       0.000      -6.638      -9.704            0.000            0.000            0.000           14.204           11.536           -8.381            1.978            0.770            0.123            5.490            4.941            2.072            0.332            0.000            0.000
   365    12    31  2023      92       0  hru092         0.000       0.000      -9.319     -11.775            0.000            0.000            0.000            1.229            1.292           -0.762            0.221            0.793            0.126            5.490            4.941            1.834            0.292            0.000            0.000
   365    12    31  2023      93       0  hru093         0.000       0.000      -8.284     -10.251            0.000            0.000            0.000            0.684            0.896           -0.469            0.154            0.802            0.127            5.490            4.941            1.901            0.301            0.000            0.000
   365    12    31  2023      94       0  hru094         0.000       0.000      -6.555      -9.667            0.000            0.000            0.000           14.305           11.529           -8.366            1.976            0.830            0.132            5.490            4.941            1.959            0.319            0.000            0.000
   365    12    31  2023      95       0  hru095         0.000       0.000     -10.818     -12.565            0.000            0.000            0.000            0.687            1.417           -0.940            0.243            0.350            0.056            5.490            4.941            0.427            0.069            0.000            0.000
   365    12    31  2023      96       0  hru096         0.000       0.000      -7.093      -9.916            0.000            0.000            0.000           10.954           11.805           -8.570            2.024            0.861            0.137            5.490            4.941            1.960            0.316            0.000            0.000
   365    12    31  2023      97       0  hru097         0.000       0.000      -5.996      -9.429            0.000            0.000            0.000           14.248           11.399           -8.256            1.954            0.830            0.132            5.490            4.941            1.914            0.312            0.000            0.000
   365    12    31  2023      98       0  hru098         0.000       0.000      -8.914     -11.610            0.000            0.000            0.000            1.299            1.269           -0.736            0.217            0.865            0.137            5.490            4.941            1.988            0.316            0.000            0.000
   365    12    31  2023      99       0  hru099         0.000       0.000     -10.554     -12.489            0.000            0.000            0.000            0.842            1.378           -0.911            0.236            0.497            0.079            5.490            4.941            0.773            0.122            0.000            0.000
   365    12    31  2023     100       0  hru100         0.000       0.000     -10.714     -12.414            0.000            0.000            0.000            0.824            1.396           -0.912            0.239            0.386            0.062            5.490            4.941            0.510            0.081            0.000            0.000
   365    12    31  2023     101       0  hru101         0.000       0.000      -7.194      -9.768            0.000            0.000            0.000            0.807            0.850           -0.415            0.146            0.869            0.138            5.490            4.941            2.027            0.329            0.000            0.000
   365    12    31  2023     102       0  hru102         0.000       0.000     -12.797     -13.478           37.764            2.518           73.162            4.218            1.494            8.250            0.251           39.760            3.374            5.490            4.941          135.876           13.789            0.000            0.000
   365    12    31  2023     103       0  hru103         0.000       0.000     -11.325     -11.686           37.764            2.518           45.421            1.974            1.086            4.107            0.184           20.926            1.985            5.490            4.941           75.147            8.177            0.000            0.000
   365    12    31  2023     104       0  hru104         0.000       0.000     -13.404     -13.586           50.352            3.357           61.112            3.883            1.481            7.728            0.250           35.832            3.810            5.490            4.941          135.029           16.666            0.000            0.000
   365    12    31  2023     105       0  hru105         0.000       0.000     -10.060     -10.857           45.107            5.245           50.581            2.736            1.040            5.736            0.176           28.808            3.557            5.490            4.941          111.341           14.280            0.000            0.000
   365    12    31  2023     106       0  hru106         0.000       0.000     -12.059     -12.894           34.617            2.937          110.808            5.354            1.536           11.002            0.256           49.255            3.130            5.490            4.941          178.651           13.388            0.000            0.000
   365    12    31  2023     107       0  hru107         0.000       0.000     -10.245     -11.972           58.744            8.392           43.096            2.756            1.399            5.454            0.237           21.130            3.425            5.490            4.941          119.203           15.017            0.000            0.000
   365    12    31  2023     108       0  hru108         0.000       0.000      51.556      32.775          485.425          153.154           20.653           27.203            3.275           74.689            0.650            9.925            1.738            5.490            4.941          106.463           15.119            0.000            0.000
   365    12    31  2023     109       0  hru109         0.000       0.000      24.057       9.965          328.600           99.026           21.944           16.515            2.211           37.591            0.407            9.068            1.280            5.490            4.941          127.996           18.952            0.000            0.000
   365    12    31  2023     110       0  hru110         0.000       0.000     -12.641     -12.812           44.583            2.727           40.572            3.155            1.323            4.157            0.225           18.906            2.645            5.490            4.941           96.862           15.918            0.000            0.000
   365    12    31  2023     111       0  hru111         0.000       0.000     -12.328     -12.576           50.877            4.773           23.465            2.824            1.407            3.032            0.242           14.197            2.393            5.490            4.941           73.847           14.513            0.000            0.000
   365    12    31  2023     112       0  hru112         0.000       0.000      53.225      29.753          567.772          178.068           21.715           33.181            3.039           67.866            0.594            3.928            1.732            5.490            4.941          126.107           21.210            0.000            0.000
   365    12    31  2023     113       0  hru113         0.000       0.000      -7.522      -8.947           73.168           15.473           40.151            1.558            0.902            3.253            0.151            6.888            2.906            5.490            4.941          120.401           22.065            0.000            0.000
   365    12    31  2023     114       0  hru114         0.000       0.000      87.464      56.784          646.185          228.263           90.004           22.724            3.380           93.418            0.702           43.662            2.317            5.490            4.941          210.878           14.532            0.000            0.000
   365    12    31  2023     115       0  hru115         0.000       0.000     -12.621     -13.072           77.364            7.920           23.335            2.596            1.381            4.524            0.237           15.251            2.879            5.490            4.941          110.898           18.916            0.000            0.000
   365    12    31  2023     116       0  hru116         0.000       0.000     -11.439     -11.395           66.612            6.923           40.763            2.085            0.969            5.016            0.164           17.890            2.973            5.490            4.941          116.625           19.686            0.000            0.000
   365    12    31  2023     117       0  hru117         0.000       0.000     -10.709     -11.052           72.906            8.969           22.871            1.947            0.930            4.573            0.160           15.431            3.341            5.490            4.941          109.260           21.370            0.000            0.000
   365    12    31  2023     118       0  hru118         0.000       0.000     -10.758     -11.059           72.906            8.969           23.008            1.979            0.929            4.546            0.159           15.303            3.286            5.490            4.941          109.035           21.420            0.000            0.000
   365    12    31  2023     119       0  hru119         0.000       0.000     -11.277     -11.992           72.381            9.966           79.211            4.465            1.407            7.216            0.238           24.790            1.678            5.490            4.941          166.326           18.716            0.000            0.000
   365    12    31  2023     120       0  hru120         0.000       0.000     -11.411     -11.765           44.583            2.727           40.428           22.432           11.791           -4.672            2.019           13.849            2.214            5.490            4.941           87.127           13.511            0.000            0.000
   365    12    31  2023     121       0  hru121         0.000       0.000      49.977      31.621          481.229          152.105           43.956           28.252            3.279           74.719            0.639            8.989            1.919            5.490            4.941          123.844           15.948            0.000            0.000
   365    12    31  2023     122       0  hru122         0.000       0.000      21.597       8.332          332.796          100.704           22.940           12.134            2.267           37.076            0.418            6.080            1.155            5.490            4.941          121.913           22.282            0.000            0.000
   365    12    31  2023     123       0  hru123         0.000       0.000      21.170       6.887          326.764           94.410           23.600           13.132            1.767           35.066            0.335           12.857            2.773            5.490            4.941          124.750           18.553            0.000            0.000
   365    12    31  2023     124       0  hru124         0.000       0.000      20.848      11.786          285.066           81.612            0.000           13.268            2.385           44.249            0.455            4.593            1.782            5.490            4.941          114.285           22.123            0.000            0.000
   365    12    31  2023     125       0  hru125         0.000       0.000      -9.941     -11.363           94.410           13.637           51.487            2.649            1.410            6.333            0.239           16.873            4.178            5.490            4.941          159.139           21.331            0.000            0.000
   365    12    31  2023     126       0  hru126         0.000       0.000     -11.563     -11.632           60.842            5.245           54.772            1.827            1.022            4.793            0.172           16.242            3.046            5.490            4.941          121.722           16.512            0.000            0.000
   365    12    31  2023     127       0  hru127         0.000       0.000     -11.681     -12.565           83.920           10.070           25.020            1.975            1.376            4.402            0.234           11.590            3.897            5.490            4.941          119.507           19.770            0.000            0.000
