 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   365    12    31  2023       1       0  hru001                 0.005       0.036       0.003       0.401       0.305       0.121       0.000       0.003       0.000       2.926       0.000       0.000
   365    12    31  2023       2       0  hru002                 0.005       0.037       0.004       0.412       0.289       0.126       0.000       0.003       0.000       2.894       0.000       0.000
   365    12    31  2023       3       0  hru003                 0.000       0.000       0.000       0.000       6.901       0.000       0.000       0.000       0.000       1.918       0.000       0.000
   365    12    31  2023       4       0  hru004                 0.000       0.000       0.000       0.000       6.912       0.000       0.000       0.000       0.000       0.359       0.000       0.000
   365    12    31  2023       5       0  hru005                 0.000       0.000       0.000       0.000       6.083       0.000       0.000       0.000       0.000       0.674       0.000       0.000
   365    12    31  2023       6       0  hru006                 0.000       0.000       0.000       0.000       6.549       0.000       0.000       0.000       0.000       0.483       0.000       0.000
   365    12    31  2023       7       0  hru007                 0.000       0.000       0.000       0.000       5.384       0.000       0.000       0.000       0.000       0.995       0.000       0.000
   365    12    31  2023       8       0  hru008                 0.000       0.000       0.000       0.000       6.971       0.000       0.000       0.000       0.000       0.341       0.000       0.000
   365    12    31  2023       9       0  hru009                 0.026       0.244       0.023       0.625       1.643       0.386       0.000       0.017       0.000       6.056       0.000       0.000
   365    12    31  2023      10       0  hru010                 0.000       0.000       0.000       0.000       5.312       0.000       0.000       0.000       0.000       1.029       0.000       0.000
   365    12    31  2023      11       0  hru011                 0.000       0.000       0.000       0.000       5.370       0.000       0.000       0.000       0.000       1.002       0.000       0.000
   365    12    31  2023      12       0  hru012                 0.000       0.000       0.000       0.001       3.725       0.001       0.000       0.000       0.000       1.759       0.000       0.000
   365    12    31  2023      13       0  hru013                 0.000       0.000       0.000       0.000       5.718       0.000       0.000       0.000       0.000       0.837       0.000       0.000
   365    12    31  2023      14       0  hru014                 0.000       0.000       0.000       0.000       5.574       0.000       0.000       0.000       0.000       0.905       0.000       0.000
   365    12    31  2023      15       0  hru015                 0.000       0.000       0.000       0.000       6.142       0.000       0.000       0.000       0.000       0.648       0.000       0.000
   365    12    31  2023      16       0  hru016                 0.009       0.070       0.007       0.626       8.759       0.254       0.000       0.005       0.000       5.568       0.000       0.000
   365    12    31  2023      17       0  hru017                 0.000       0.000       0.000       0.000       4.925       0.000       0.000       0.000       0.000       0.761       0.000       0.000
